sign,stock,fire_date,score,corr_mode,q,r_k3,mfe_03,mae_03,baseline_r,cut_θ-1,cut_θ-2,cut_θ-3,policy_r_θ-1,policy_r_θ-2,policy_r_θ-3
rev_nlo,8604.T,2023-10-12,0.561146,high,Q3,-0.007589,-0.001155,-0.029533,0.011054,0,0,0,0.011054,0.011054,0.011054
rev_nlo,8604.T,2023-11-07,0.363862,high,Q1,-0.015646,-0.009616,-0.042536,0.102021,1,0,0,-0.011734,0.102021,0.102021
rev_nlo,8604.T,2024-04-26,0.532363,high,Q3,0.025080,0.025522,-0.050934,0.009833,0,0,0,0.009833,0.009833,0.009833
rev_nlo,8604.T,2024-08-13,0.775958,high,Q4,0.060710,0.087579,0.013815,0.030940,0,0,0,0.030940,0.030940,0.030940
rev_nlo,8604.T,2024-09-17,0.486371,high,Q3,0.035097,0.057659,0.015042,0.243971,0,0,0,0.243971,0.243971,0.243971
rev_nlo,8604.T,2024-10-09,0.450497,high,Q2,-0.013965,0.007232,-0.026808,0.151430,1,0,0,-0.007731,0.151430,0.151430
div_gap,8604.T,2025-09-29,0.073068,high,Q1,-0.024231,-0.001864,-0.035881,0.100182,1,1,0,0.020037,0.020037,0.100182
div_gap,8604.T,2025-12-18,0.119387,high,Q1,0.018139,0.032729,0.012618,0.161101,0,0,0,0.161101,0.161101,0.161101
div_gap,8630.T,2022-04-12,0.152815,mid,Q2,-0.000196,0.009397,-0.007635,0.127230,0,0,0,0.127230,0.127230,0.127230
div_gap,8630.T,2022-06-06,0.119664,low,Q1,-0.016985,0.004452,-0.019129,-0.028034,1,0,0,-0.023747,-0.028034,-0.028034
div_gap,8630.T,2022-06-29,0.231139,low,Q3,0.040605,0.042304,0.001359,-0.002039,0,0,0,-0.002039,-0.002039,-0.002039
div_gap,8630.T,2022-08-18,0.146863,mid,Q2,-0.007294,0.010009,-0.007634,0.053954,0,0,0,0.053954,0.053954,0.053954
div_gap,8630.T,2022-09-30,0.280426,high,Q4,0.054545,0.060606,-0.002944,0.040982,0,0,0,0.040982,0.040982,0.040982
div_gap,8630.T,2022-10-28,0.119895,high,Q1,0.003076,0.031245,-0.002590,-0.099223,0,0,0,-0.099223,-0.099223,-0.099223
div_gap,8630.T,2023-06-21,0.107439,mid,Q1,0.003738,0.027103,-0.001090,-0.040810,0,0,0,-0.040810,-0.040810,-0.040810
div_gap,8630.T,2023-12-05,0.083615,mid,Q1,0.072687,0.075500,0.020725,0.080008,0,0,0,0.080008,0.080008,0.080008
div_gap,8630.T,2023-12-07,0.151757,low,Q2,-0.003889,0.015000,-0.013194,-0.056048,0,0,0,-0.056048,-0.056048,-0.056048
div_gap,8630.T,2023-12-28,0.111949,low,Q1,0.035859,0.044716,-0.015679,0.098187,0,0,0,0.098187,0.098187,0.098187
div_gap,8630.T,2024-01-26,0.094121,mid,Q1,0.016611,0.022060,0.006379,0.151961,0,0,0,0.151961,0.151961,0.151961
div_gap,8630.T,2024-02-29,0.221681,high,Q3,0.030272,0.049391,0.007966,0.081889,0,0,0,0.081889,0.081889,0.081889
